S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude
1,MVNNDG62,VIKASH,2,20-Krishna Nagar First, Opposite Mayank Gas Agency,Dhalao Ghar,27.501018,77.661684
2,MVNNDG61,VIKASH,2,30-Krishna Nagar Second,Near Income Tax Department,Dhalao Ghar,27.495787,77.65452
3,MVNNDG60,VIKASH,2,47-Dwarkapuri,BSA  puliya,Dhalao Ghar,27.496668,77.682024
4,MVNNDG67,VEERESH-(Underground  Dustbin),2,37-Baldevpuri,MAHOLI ROAD,Dhalao Ghar,27.481012,77.658234
5,MVNNDG36,VEERESH,1,68-Shanti Nagar,"Near Bajrang Chauraha, Maholi Road",Dhalao Ghar,27.485381,77.666568
6,MVNNDG35,VEERESH,1,68-Shanti Nagar,"Near Prasad Public School, Gopal Nagar",Dhalao Ghar,27.48067,77.668699
7,MVNNDG34,VEERESH,1,68-Shanti Nagar,"Opposite Bajrang Dharamkanta, Maholi Road",Dhalao Ghar,27.480816,77.65819
8,MVNNDG33,VEERESH,1,68-Shanti Nagar,"Opposite Chamunda Mata Mandir, Gopalnagar",Dhalao Ghar,27.473779,77.668344
9,MVNNDG58,SURENDRA,2,46-Radha Nagar,KRISHNA NAGAR ,Dhalao Ghar,27.503578,77.657387
10,MVNNDG57,SURENDRA,2,55-Govind Nagar,GOIND NAGAR,Dhalao Ghar,27.506409,77.662988
11,MVNNDG26,SUDESH,1,02-Ambedkar Nagar,get well hostpital,Dhalao Ghar,27.511248,77.709674
12,MVNNDG27,SUBHASH,1,07-Lohvan,lahuvan pokhar,Dhalao Ghar,27.513421,77.721505
13,MVNNDG79,SONVEER,3,33-Palikhera,Chandra Green Heights,Dhalao Ghar,27.477459,77.657591
14,MVNNDG68,SONVEER,3,59-Maholi Second,Pushpanjali  Road Mathura Lajpat Nagar,Dhalao Ghar,27.480218,77.656521
15,MVNNDG9,SATENDRA,4,21-Chaitanya Bihar,KAMAL MANDIR KE PASS ,Dhalao Ghar,27.563681,77.638404
16,MVNNDG63,SANJIV,2,56-Mandi Randas,DWARIKADHEESH MANDIR ,Dhalao Ghar,27.506118,77.68409251
17,MVNNDG59,SANJIV,2,58-Gau Ghat,near jay shree colony gaughat,Dhalao Ghar,27.511527,77.675048
18,MVNNDG85,SANDEEP-(UNDER GROUND),3,38-Civil Lines,NEAR NAGAR AYUKT HOME ,Dhalao Ghar,27.462215,77.697723
19,MVNNDG86,SANDEEP- (UNDERGROUND DUSTBIN),3,38-Civil Lines,CIVIL LINES ,Dhalao Ghar,27.47576,77.694124
20,MVNNDG84,SANDEEP,3,38-Civil Lines,Janakpuri officer colony baccha Jail ke samne,Dhalao Ghar,27.461455,77.674227
21,MVNNDG83,SANDEEP,3,38-Civil Lines,chanakapuri officer colony,Dhalao Ghar,27.461455,77.674227
22,MVNNDG76,SANDEEP,3,38-Civil Lines,"DAMODARPURA, SHANI DEV MANDIR",Dhalao Ghar,27.456258,77.703953
23,MVNNDG75,SANDEEP,3,38-Civil Lines,"DAMODARPURA,DAMODARPURA GATE KE SAMNE ",Dhalao Ghar,27.453026,77.705959
24,MVNNDG32,SANDEEP,1,23-Aheer Pada,chanakapuri khatik mohalla gete ke samne,Dhalao Ghar,27.461455,77.674227
25,MVNNDG31,SANDEEP,1,23-Aheer Pada,janakapuri Kalika Mandir badhpura ke samne,Dhalao Ghar,27.461455,77.674227
26,MVNNDG30,SANDEEP,1,63-Maliyaan Sadar,Bengali colonyMahadev Ghat ke pas John suther,Dhalao Ghar,27.461455,77.674227
27,MVNNDG20,SANDEEP,3,59-Maholi Second,Yamuna wala road XUV plant ke pass,Dhalao Ghar,27.461455,77.674227
28,MVNNDG64,SACHIN,2,16-Bakalpur,shriji baba school,Dhalao Ghar,27.498807,77.637736
29,MVNNDG52,SACHIN,2,43-Ganeshra,ganesra road sochale,Dhalao Ghar,27.509248,77.647102
30,MVNNDG51,SACHIN,2,43-Ganeshra,hariram medical,Dhalao Ghar,27.509054,77.643672
31,MVNNDG50,SACHIN,2,43-Ganeshra,CRPF Camp,Dhalao Ghar,27.509052,77.641666
32,MVNNDS1,RADHA VELLY ,2,24-Sarai Azamabad,RADHA VELLY ,Dhalao Ghar,27.520836,77.656489
33,MVNNDG13,PAWAN KUMAR,4,09-Gandhi Nagar,Telipada,Dhalao Ghar,27.577881,77.69456
34,MVNNDG12,PAWAN KUMAR,4,34-Radhaniwas,Char sampradaay,Dhalao Ghar,27.577374,77.703101
35,MVNNDG11,PAWAN KUMAR,4,70-Biharipur,JUGAL GHAT,Dhalao Ghar,27.558692,77.688077
36,MVNNDG10,PAWAN KUMAR,4,69-Ratan Chhatri,PILI KOTHI,Dhalao Ghar,27.576148,77.685274
37,MVNNDG7,PAWAN KUMAR,4,66-Keshighat,KESI GHAT KALI MANDIR,Dhalao Ghar,27.586943,77.703918
38,MVNNDG14,MANVENDRA ,4,51-Gaushala Nagar,NEAR SURYA NAMASKAR,Dhalao Ghar,27.561242,77.682983
39,MVNNDG1,MANVENDRA ,4,51-Gaushala Nagar,KAILASH NAGAR ,Dhalao Ghar,27.564192,77.689472
40,MVNNDG2,MANVENDRA,4,51-Gaushala Nagar,SANIDEV MANDIR,Dhalao Ghar,27.563997,77.68437
41,MVNNDG65,MANISH,2,03-Girdharpur,GIRDHARPUR GAO,Dhalao Ghar,27.498612,77.635904
42,MVNNDG47,MAHAVEER - UNDERGROUND DUSTBIN,1,14-Lakshmi Nagar Yamunapar,LAXMI NAGAR,Dhalao Ghar,27.506353,77.698788
